SR NO,Authors,Title,Year,Sample Size,Child/Adult,Data Modality,ML/DL Algorithm,Comparison,Outcome
53,"Pecci-Terroba, C., Lai, M.-C., Lombardo, M.V., Chakrabarti, B., Ruigrok, A.N.V., Suckling, J., Anagnostou, E., Lerch, J.P., Taylor, M.J., Nicolson, R., Georgiades, S., Crosbie, J., Schachar, R., Kelley, E., Jones, J., Arnold, P.D., Seidlitz, J., Alexander-Bloch, A.F., Bullmore, E.T., Baron-Cohen, S., Bedford, S.A., Bethlehem, R.A.I.",Subgrouping autism and ADHD based on structural MRI population modelling centiles,2025,4115,Adult,MRI,HYDRA ,"ADHD, Control",Algorithm and Feature Selection significantly impact the Subgroups identified
54,"Wang, F., Ke, H., Cai, C.",Deep Wavelet Self-Attention Non-negative Tensor Factorization for non-linear analysis and classification of fMRI data,2025,642,Adult,MRI,Convolutional Neural Network,"ADHD, Control",Accuracy 86%
55,"Ullah, M.Z., Ta, N., Yu, D.",A weighted dispersion entropy based EEG analysis for ADHD diagnosis,2025,121,Adult,EEG Signals,GRU,"ADHD, Control","Accuracy 93.20%, ROC 98%"
56,"Pelland-Goulet, P., Arguin, M., Brisebois, H., Gosselin, N.",Visual processing oscillates differently through time for adults with ADHD,2025,121,Child,EEG Signals,Support Vector Machine,"ADHD, Control",Accuracy 91.8%
57,"Sanchis, J., Teruel, M.A., Trujillo, J.",A Decision Support System Based on multi-head convolutional and Recurrent nns for assisting physicians in diagnosing ADHD,2025,42041,Child,EEG Signals,"Convolutional Neural Network,  Ensemble","ADHD, Control","Accuracy 94.87%, Recall 98.33%"
58,"Yu, R., Zhang, X., Chen, Y.",Graph Neural Networks for ADHD Identification in Children,2025,2097,Child,ECG Signals,"Graph Neural Network, XGBoost","ADHD, Control","F1-Score 83.31%, Recall 83.36%, Precision 83.70%, Accuracy 83.36%"
59,"Festag, S., Herberger, S., Spreckelsen, C., Krefting, D., Fietze, I., PENZEL, T., Marschik, P.B., Spicher, N.",Age estimation for disorder characterization from pediatric polysomnograms,2025,1971,Adult,Image data,"Neural Network, Transformer","ADHD, Control","5 min of PSG is sufficient for age estimation, yielding a mean absolute error of 1. 816 years"
60,"Baibulova, M., Aitimov, M., Burganova, R., Abdykerimova, L., Sabirova, U., Seitakhmetova, Z., Uvaliyeva, G., Orynbassar, M., Kassekeyeva, A., Kassim, M.",A Hybrid Convolutional nn–GRU–LSTM Algorithm with SHAP-Based Interpretability for EEG-Based ADHD Diagnosis,2025,121,Child,EEG Signals,"Convolutional Neural Network,  GRU, Long Short-Term Memory, RNN, Transformer","ADHD, Control",Accuracy 99.63%
61,"Patel, R., Dwivedi, K., Singh, R., Tiwary, I., Muniraj, M., Adhikari, M.S., Tripathi, S.K.",Investigation of Sentiment Analysis for the Diagnosis of ADHD,2025,400,Both,Textual data,"Ensemble, Naive Bayes, Neural Network, Support Vector Machine, Transformer","ADHD, Control",Accuracy 93%
62,"Deepika, Sharma, M., Arora, S.",Redefining parameter-efficiency in ADHD diagnosis: A lightweight attention-driven kolmogorov-arnold network with reduced parameter complexity and a novel activation function,2025,973,Child,fMRI,"Autoencoder,  Neural Network","ADHD, Control","Accuracy 79.25%, F1-score 78.75%, Precision 78.23%"
63,"Luo, Y., Chen, Q., Li, F., Yi, L., Xu, P., Zhang, Y.",Hierarchical feature extraction on functional brain networks for autism spectrum disorder identification with resting-state fMRI data,2025,973,Child,fMRI,"Convolutional Neural Network, K-Means, Transformer","ADHD, Control","Accuracy 73.57%, Sensitivity 72.63%, Specificity 74.90%, F1-score 71.04%"
64,"Li, X., Liu, X., Jiang, Y., Cui, J., Ji, Y., Cheng, F., Zhou, D.",Identifying neuroimaging biomarkers of attention-deficit hyperactivity disorder (ADHD) from cortical hemodynamic responses during Go/NoGo task using machine learning approaches,2025,185,Child,fNIRS,Random Forest,"ADHD, Control","AUC 91%, Accuracy 89.2%, Sensitivity 95%, Specificity 82.4%"
65,"Li, Y., Wang, H., Cai, H., Lan, S., Dai, Y., Xu, B., Su, S., Zhang, H., Yang, Z., Chen, Y.",Brain iron deficiency in children with attention deficit hyperactivity disorder using iterAtive magnetic suscePtibility sources sepARaTion (APART-QSM),2025,71,Child,MRI,"Random Forest, Support Vector Machine","ADHD, Control","AUC 75.6%, Sensitivity 77.8%, Specificity 68.6%, Accuracy 73.2%"
66,"Meijs, H., Luykx, J.J., van der Vinne, N., Breteler, R., Gordon, E., Sack, A.T., van Dijk, H., Arns, M.",A Deep Learning–Derived Transdiagnostic Signature Indexing Hypoarousal and Impulse Control: Implications for Treatment Prediction in Psychiatric Disorders,2025,4691,Child,EEG Signals,Convolutional Neural Network,"ADHD, Control","Brainmarker-III, is associated with remission to methylphenidate in children with ADHD in a sex-specific manner and with remission to antidepressant medication in adults with DD in a drug-specific manner"
67,"Hu, Y., Zeng, Y., Fu, T., Hong, D., Yang, H., Zhu, Z., Cheng, D., Dang, C., Song, Y., Yang, C., Yin, W., Zhou, Y.","Functional connectivity anomalies in medication-naive children with ADHD: Diagnostic potential, symptoms interpretation, and a mediation model",2025,74,Child,EEG Signals,Support Vector Machine,"ADHD, Control",AUC 89%
68,"Vahedifard, F., Birmaher, B., Iyengar, S., Wolfe, M., Brianna N, L., Chobany, M., Abdul-Waalee, H., Malgireddy, G., Hart, J.A., Bertocci, M.A., Diler, R.S.",Maximum and minimum activity in inpatient adolescents with Bipolar Disorders: Daily-Variability classification of actigraphy pattern with artificial intelligence,2025,389,Child,"Behavioral data, Physiological data","Random Forest, Support Vector Machine, XGBoost","ADHD, Control",Accuracy 91.5%
69,"Hosseini, E., Hosseini, S.A., Servaes, S., Hall, B., Rosa-Neto, P., Moradi, A.-R., Kumar, A., Pedram, M.M., Chawla, S.",Transforming 3D MRI to 2D Feature Maps Using Pre-Trained Models for Diagnosis of Attention Deficit Hyperactivity Disorder,2025,973,Child,fMRI,"Convolutional Neural Network,  GRU, Long Short-Term Memory","ADHD, Control","Accuracy 86%, ROC-AUC 90%"
70,"Priya, M.G., Pattabiraman, P.","EVALUATION OF ADHD: CLASSIFICATION, TREATMENT STRATEGIES IN PEDIATRIC AND ADOLESCENT POPULATIONS USING MACHINE LEARNING",2025,49,Both,EEG Signals,Convolutional Neural Network,"ADHD, Control",Accuracy 84%
71,"Usha Rupni, K., Aruna Priya, P.",Attention deficit hyperactivity disorder subtypes classification: a machine learning approach with phenotypic information and brain tissue volume,2025,973,Child,fMRI,"Deep Learning, Gradient Boosting, XGBoost","ADHD‑I, ADHD‑C",Accuracy 92.98%
72,"Lee, H., Belitz, C., Nasiar, N., Bosch, N.",XAI Reveals the Causes of Attention Deficit Hyperactivity Disorder (ADHD) Bias in Student Performance Prediction,2025,277,Adult,Textual data,"K Nearest, Support Vector Machine","ADHD, Control","Behavioral features have stronger correlation between absolute SHAP values and prediction errors (r = .354, p = .013) for students with ADHD"
73,"Pedrollo, G.R., Franco, A.R., Balbinot, A.",Investigation of electroencephalography in attention-deficit hyperactivity disorder subtype classification with machine learning,2025,499,Both,EEG Signals,"Ensemble, Random Forest, XGBoost","ADHD-I, ADHD-C, Control","Accuracy 92.1 ± 0.5% for ADHD/Control,  Accuracy 97.7 ± 0.3% for subtype"
74,"Usha Rupni, K., Aruna Priya, P.",Local interpretable model-agnostic explanations guided brain magnetic resonance imaging classification for identifying attention deficit hyperactivity disorder subtypes,2025,973,Child,fMRI,Convolutional Neural Network,"ADHD-I, ADHD-C",Accuracy 95.5275%
75,"Zhao, Y., Fu, Z., Barnett, E.J., Wang, N., Zhang, K., Gao, X., Zheng, X., Tian, J., Zhang, H., Ding, X., Li, S., Li, S., Cao, Q., Chang, S., Wang, Y., Faraone, S.V., Yang, L.",Genome data based deep learning identified new genes predicting pharmacological treatment response of attention deficit hyperactivity disorder,2025,241,Child,Genomic data,Convolutional Neural Network,"ADHD, Control","Accuracy 83%, Sensitivity 90%, Specificity 75%"
76,"Rehman, A., Lin, J.C.-W., Heldal, I.",Enhancing Psychologists'Understanding Through Explainable Deep Learning Framework for ADHD Diagnosis,2025,973,Child,fMRI,"Convolutional Neural Network,  RNN","ADHD-I, ADHD-C, ADHD-H","F1‐score 99% for HyExDNN‐RNN, F1‐score 94.2% for  multi‐class categorization"
77,"Gülhan, P.G., Özmen, G.",The Use of fMRI Regional Analysis to Automatically Detect ADHD Through a 3D CNN-Based Approach,2025,973,Child,fMRI,Convolutional Neural Network,"ADHD, Control","Accuracy 76.19% (NI), Accuracy 69.92% (NYU), Accuracy 70.77% (PU)"
78,"Mao, Y., Qi, X., He, L., Wang, S., Wang, Z., Wang, F.",Advanced machine learning techniques reveal multidimensional EEG abnormalities in children with ADHD: a framework for automatic diagnosis,2025,121,Child,EEG Signals,"Random Forest, XGBoost","ADHD, Control",Accuracy 99.58%
79,"Kim, J.W., Kim, B.-N., Kim, J.I., Yang, C.-M., Kwon, J.",Electroencephalogram (EEG) Based Prediction of Attention Deficit Hyperactivity Disorder (ADHD) Using Machine Learning,2025,168,Child,EEG Signals,"Gradient Boosting, XGBoost","ADHD, Control","Accuracy 90.81%, F1-score 93.47%"
80,"Bansal, J., Gangwar, G., Aljaidi, M., Alkoradees, A., Singh, G.",EEG-Based ADHD Classification Using Autoencoder Feature Extraction and ResNet with Double Augmented Attention Mechanism,2025,121,Child,EEG Signals,"Autoencoder, Neural Network, Random Forest","ADHD, Control","Accuracy 99.42%, Precision 99.03%, Recall 99.82%, F1-score 99.42%"
81,"Namasse, Z., Tabaa, M., Hidila, Z., Mouchawrab, S.",Explainable Artificial Intelligence for Predicting Attention Deficit Hyperactivity Disorder in Children and Adults,2025,50000,Both,Demographic data,"Logistic Regression, XGBoost","ADHD, Control","Accuracy 99% LR for children, Accuracy 100% XGB for adults"
82,"Chen, M., van der Pal, Z., Poirot, M.G., Schrantee, A., Bottelier, M., Kooij, S.J.J., Marquering, H.A., Reneman, L., Caan, M.W.A.",Prediction of methylphenidate treatment response for ADHD using conventional and radiomics T1 and DTI features: Secondary analysis of a randomized clinical trial,2025,83,Adult,"Clinical data, Questionaires",XGBoost,"ADHD, Control","Accuracy 68%, AUC-ROC 73% for total cohort, Accuracy 64%, AUC-ROC 62% for Children, Accuracy 64%, AUC-ROC 69% for Adults"
83,"Ma, H., Xu, Y., Tian, L.",RS-MAE: Region-State Masked Autoencoder for Neuropsychiatric Disorder Classifications Based on Resting-State fMRI,2025,642,Both,rs-fMRI,"Autoencoder,  Neural Network","ADHD, ASD, AD, SCZ","Accuracy 76.32% for ADHD, Accuracy 77.25% for ASD, Accuracy 88.87% for AD, Accuracy 76.53% for SCZ"
84,"Ahire, N., Awale, R.N., Wagh, A.",Classification of attention deficit hyperactivity disorder using machine learning on an EEG dataset,2025,121,Child,EEG Signals,"Gradient Boosting, K Nearest, Random Forest","ADHD, Control",Accuracy 87%
85,"Ahire, N., Awale, R.N., Wagh, A.",Electroencephalogram (EEG) based prediction of attention deficit hyperactivity disorder (ADHD) using machine learning,2025,121,Child,EEG Signals,"K Nearest, Naive Bayes, Random Forest","ADHD, Control",Accuracy 96%
86,"Kusuma Ramadhani, L.D., Pratiwi, H., Respatiwulan, R., Ferawati, K., Handajani, S.S., Susanti, Y.",An Algorithmic Comparison for Robust ADHD Classification on Imbalanced National Health Survey Data,2025,54749,Child,Survey,"Deep Learning, Gradient Boosting, Random Forest, XGBoost","ADHD, Control","F1-score 84%, Accuracy 93%"
87,"Sabnis, M., Desai, S.",FMRI-Based ADHD Diagnosis and Sex Prediction: A Machine Learning Approach,2025,1200,Child,"fMRI, Demographic data, Behavioral data","Deep Learning, Ensemble, Gradient Boosting, Logistic Regression, Random Forest, Support Vector Machine, XGBoost","ADHD, Control",F1-score 72.53%
88,"Jiang, Z., Chan, A.Y.L., Lum, D., Wong, K.H.T.W., Leung, J.C.N., Ip, P., Coghill, D., Wong, R.S., Ngai, E.C.H., Wong, I.C.K.",Wearable Signals for Diagnosing Attention-Deficit/Hyperactivity Disorder in Adolescents: A Feasibility Study,2025,30,Child,Socio-demographic data,"Gradient Boosting, XGBoost","ADHD, Control",AUC 84.4%
89,"Zheng, Z., Weng, L.","EEG Classification of Students with High Ability, Average Ability, Low Ability, and ADHD Through Empirical Wavelet Transform",2025,141,Adult,EEG Signals,Support Vector Machine,"ADHD, Control",Accuracy 78.91%
90,"Wang, Y.-C., Cheng, C.-Y., Wu, C.-S., Lee, C.-C., Gau, S.S.-F.",Clinical correlates of errors in machine-learning diagnostic model of autism spectrum disorder: Impact of sample cohorts,2025,1203,Child,Clinical data,"Logistic Regression, Support Vector Machine","ADHD, Control","AUC 83%, Sensitivity 57.6%, Specificity 89.9%"
91,"Caraka, R.E., Supardi, K., Gio, P.U., Isnaniawardhani, V., Chen, R.C., Djatmiko, B., Pardamean, B.",Big Data Analytics for Uncovering Voxel Connectivity Patterns in Attention Deficit Hyperactivity Disorder,2025,5937,Adult,Image data,"Bayesian, K-Means Clustering, Neural Network, Random Forest, Support Vector Machine","ADHD, Control",Accuracy 91.43%
92,"Grummitt, L., Visontay, R., Clare, P., Slade, T., Birrell, L.",Multivariable machine learning prediction of risky alcohol use in contemporary youth,2025,4983,Child,Textual data,"Ensemble, Random Forest, Support Vector Machine","ADHD, Control",AUC 79.2%
93,"Jaafar, N.A., Mohammed, R.J., Ahmed, S.T., Kadhim, Q.K., Abdulkader, R.M.",Artificial intelligence methods for identification of ADHD in children based on EEG signals,2025,61,Child,EEG Signals,"Convolutional Neural Network, Support Vector Machine","ADHD, Control",Accuracy 98.69%
94,"Li, X., Xu, H., Cao, Y., Lu, X., Duan, H., Shu, Q., Wang, W., Li, H.",Detection of ADHD from ECG Signals via Deep Learning-Based Feature Extraction,2025,123,Child,ECG Signals,Convolutional Neural Network,"ADHD, Control","Accuracy 95.20%, Precision 95.21%, Recall 95.15%, F1-score 95.15%"
95,"Luo, L., Yuan, J., Xu, C., Xu, H., Tan, H., Shi, Y., Zhang, H., Xi, H.",Mental Health Issues and 24-Hour Movement Guidelines–Based Intervention Strategies for University Students With High-Risk Social Network Addiction: Cross-Sectional Study Using a Machine Learning Approach,2025,12541,Adult,Questionaires,Random Forest,"ADHD, Control","Accuracy 91.2% for ASRS, F1-score 92.7%, F1-score 87.3% for substance use, F1-score 83.6% for mania"
96,"Le, N.T., Huynh, N.L.V., Phan, H.K., Le, C.D., Tran, T.T.",Towards ADHD Identification in Children Through Eye Tracker Data Analysis,2025,34,Child,Retinal data,"Ensemble, Random Forest, XGBoost","ADHD, Control","AUROC 94%, Accuracy 88%"
97,"Deshmukh, M., Khemchandani, M., Mhatre, M.",Impact of brain regions on attention deficit hyperactivity disorder (ADHD) electroencephalogram (EEG) signals: Comparison of machine learning algorithms with empirical mode decomposition and time domain analysis,2025,121,Adult,EEG Signals,"Decision Tree, K Nearest, LDA, Naive Bayes, Random Forest, Support Vector Machine","ADHD, Control","Accuracy 87% for FPO of brain, Accuracy 84% FCP of  brain"
98,"Li, Y., Zeng, W., Dong, W., Cai, L., Wang, L., Chen, H., Yan, H., Bian, L., Wang, N.",MHNet: Multi-view High-Order Network for Diagnosing Neurodevelopmental Disorders Using Resting-State fMRI,2025,1112,Both,MRI,"Convolutional Neural Network, Graph Neural Network","ADHD, Control","Accuracy 76.29% for ABIDE-I, Accuracy 75.16% for ABIDE-II, Accuracy 70.33% for ADHD-200"
99,"Parameswaran, S., Arulmozhi, P., Indumathi, K., Mariya Rodax, D., Pradeep, G., Renuga Devi, J.",Prediction of Attention Deficit Hyperactivity Disorder and Autism Spectrum Disorder Patients Emotion Recognition using Machine Learning Models,2025,973,Child,fMRI,"Convolutional Neural Network, Random Forest, RNN","ADHD, Control",Accuracy 92%
100,"Rahman, M.M.",Unlocking the potential of wearable technology: Fitbit-derived measures for predicting ADHD in adolescents,2025,11874,Child,"Fitbit measurements, fMRI, Socio-demographic data","Logistic Regression, Random Forest","ADHD, Control","Accuracy 89%, AUC 95%, Precision 88%, Recall 90%, F1-score 89%"
101,"Ahire, N.",Attention-driven deep learning framework for EEG analysis in ADHD detection,2025,121,Child,EEG Signals,"Convolutional Neural Network, Gradient Boosting, Random Forest, Support Vector Machine","ADHD, Control",Accuracy 97.60%
102,"Zhang, X., Xiao, X., Luo, Y., Xiao, W., Cao, Y., Chang, Y., Wu, D., Xu, H., Zhao, J., Deng, X., Jiang, Y., Xie, R., Liu, Y.",Machine Learning Based Early Diagnosis of ADHD with SHAP Value Interpretation: A Retrospective Observational Study,2025,740,Child,Clinical data,Gradient Boosting,"ADHD, Control",AUC 87.2%
103,"Loh, D.R., Hill, E.D., Liu, N., Dawson, G., Engelhard, M.M.",Limitations of Binary Classification for Long-Horizon Diagnosis Prediction and Advantages of a Discrete-Time Time-to-Event Approach: Empirical Analysis,2025,43536,Child,EHR Data,"Bayesian, Logistic Regression, Neural Network","ADHD, Control",AUC 72%
104,"Archana, P., Terlapu, S.K., Srilakshmi, M., Venkata Subbarao, M., Viswanadham, V.",Prediction of Attention Deficient Hyperactivity Disorder from Multi-dimensionality Dataset Using Machine Learning Techniques,2025,42778,Both,Survey,"Bayesian, Decision Tree, K Nearest, Logistic Regression, Support Vector Machine","ADHD, Control",Accuracy 91%
105,"Mausd, A., Ali, Md.S., Ruku, N.I., Mallick, D., Parvez, Md.S., Shanto, Md.R.J., Al-Nuwaiser, W.M., Akhund, T.Md.",EEG-Based Neurofeedback for ADHD in Children: Enhancing Attention and Reducing Impulsivity Using Machine Learning,2025,100,Child,EEG Signals,"Decision Tree, K Nearest, Logistic Regression, Random Forest, Support Vector Machine","ADHD, Control","Recall 98.46%, Accuracy 97.53%"
106,"Lim, S., Dong, S.-Y., Mcintyre, R.S., Chiang, S.-K., Ho, R.C.",Exploring Functional Connectivity in Attention Deficit/Hyperactivity Disorder: A Functional Near-Infrared Spectroscopy Study With Machine Learning Analysis,2025,150,Adult,fNIRS,Support Vector Machine,"ADHD, Control","Accuracy 80%, Precision 80%, Recall 80.8%, F1-score 79.9%"
107,"Li, L., Guo, X., Yang, Z., Zhao, Y., Liu, X., Yang, J., Chen, Y., Peng, X., Han, L.",ADHD detection from EEG signals using GCN based on multi-domain features,2025,118,Child,EEG Signals,"Convolutional Neural Network, GCN, Long Short-Term Memory, Random Forest, Support Vector Machine, XGBoost","ADHD, Control","Accuracy 97.29% for first dataset, Accuracy 96.67% for second dataset"
108,"Ichikawa, I., Nagai, Y., Kuniyoshi, Y., Wada, M.",Machine learning model for reproducing subjective sensations and alleviating sound-induced stress in individuals with developmental disorders,2025,57,Adult,Questionaires,Neural Network,"ADHD, Control",Correlation 71.9%
109,"Choi, H., Hong, J., Kang, H.G. et al.",Retinal fundus imaging as biomarker for ADHD using machine learning for screening and visual attention stratification,2025,646,Child,Retinal data,"Random Forest, XGBoost, Extra Trees Classifier, Logistic Regression","ADHD, Control","Sensitivity of 91.6%, Specificity of 92.0%, Positive Predictive value 91.8%, Negative predictive value 91.9%, F1-score of 91.7%"
110,"Alhussen, A., Alutaibi, A.I., Sharma, S.K. et al.",Early attention-deficit/hyperactivity disorder (ADHD) with NeuroDCT-ICA and rhinofish optimization (RFO) algorithm based optimized ADHD-Attentionnet,2025,188,Adult,"EEG Signals, Diagnostic data",MLP,"ADHD, Control","Accuracy 98.52%, F-score 98.26%, Specificity 98.16%"
111,"Samarth Narvekar1, *, Manaswi Pitake1, Sakshi Galatage1, Vaibhav Deopa1, Rajashri Khanai1, Salma Shahapur1",The Unquiet Mind: ADHD and The Feminine Experience,2025,1213,Adult,"Behavioral data, Physiological data","Random Forest, Gradient Boosting, KNN, Logistic Regression","ADHD, Control","Accuracy 87.2%, Precision 88.9%, Recall 86.7%, F1-score 88.0%"
112,"García-Ponsoda, S., Maté, A., Trujillo, J.",Refining ADHD diagnosis with EEG: The impact of preprocessing and temporal segmentation on classification accuracy,2024,121,Child,EEG Signals ,"K Nearest, Support Vector Machine, XGBoost","ADHD, Control",Accuracy 86.1%
113,"Hassan, U., Singhal, A.",Convolutional Neural Network framework for EEG-based ADHD diagnosis in children,2024,121,Child,EEG Signals ,Convolutional Neural Network,"ADHD, Control",Accuracy 99.08%
114,"Andrikopoulos, D., Vassiliou, G., Fatouros, P., Tsirmpas, C., Pehlivanidis, A., Papageorgiou, C.",Machine learning-enabled detection of attention-deficit/hyperactivity disorder with multimodal physiological data: a case-control study,2024,76,Adult,"Physiological data, Questionaires","K Nearest, Logistic Regression, Random Forest, Support Vector Machine","ADHD, Control","Accuracy 81.6%, Sensitivity 81.4%, Specificity 81.9%"
115,"Nouri, A., Tabanfar, Z.",Detection of ADHD Disorder in Children Using Layer-Wise Relevance Propagation and Convolutional nn: An EEG Analysis,2024,61,Child,EEG Signals,Convolutional Neural Network,"ADHD, Control",Accuracy 94.52%
116,"Bibi, H.W., Ooi, C.P., Lih Oh, S.L., Barua, P.D., Tan, Y.R., Acharya, U.R., Fung, D.S.S.",ADHD/CD-NET: automated EEG-based characterization of ADHD and CD using explainable deep nn technique,2024,244,Child,EEG Signals,Convolutional Neural Network,"ADHD, Control","Accuracy 93.70%, Sensitivity 90.83%, Specificity 95.35%, Precision 91.85% for internal evaluation, Accuracy 98.19%, Sensitivity 98.36%, Specificity 98.03%, Precision 98.06% for external evaluation"
117,"Alsharif, N., Al-Adhaileh, M.H., Alsubari, S.N., Al-Yaari, M.",ADHD Diagnosis Using Text Features and Predictive Machine Learning and Deep Learning Algorithms,2024,10000,Both,Textual data,"Deep Learning, Random Forest","ADHD, Control","F1-score 84%, AUC 81%"
118,"Agarwal, S., Raj, A., Chowdhury, A., Aich, G., Chatterjee, R., Ghosh, K.",Investigating the impact of standard brain atlases and connectivity measures on the accuracy of ADHD detection from fMRI data using deep learning,2024,973,Both,rs-fMRI,Neural Network,"ADHD, Control",Accuracy 74.48-90.90%
119,"Sharma, A., Jain, A., Sharma, S., Gupta, A., Jain, P., Mohanty, S.P.",iPAL: A Machine Learning Based Smart Healthcare Framework for Automatic Diagnosis of Attention Deficit/Hyperactivity Disorder,2024,973,Child,fMRI,"Ensemble, Logistic Regression, Neural Network, Support Vector Machine","ADHD, Control","Accuracy 92.5% for binary classification, Accuracy 99% using ensemble classifier"
120,"Prasse, P., Reich, D.R., Makowski, S., Scheffer, T., Jäger, L.A.",Improving cognitive-state analysis from eye gaze with synthetic eye-movement data,2024,1878,Both,Retinal data,Neural Network,"ADHD, Control",AUC 68%
121,"Sanchis, J., García-Ponsoda, S., Teruel, M.A., Trujillo, J., Song, I.-Y.",A novel approach to identify the brain regions that best classify ADHD by means of EEG and deep learning,2024,121,Child,EEG Signals,"Neural Network, Support Vector Machine","ADHD, Control",F1-Score 82.81%
122,"Alsharif, N., Al-Adhaileh, M.H., Al-Yaari, M.",Accurate Identification of Attention-deficit/ Hyperactivity Disorder Using Machine Learning Approaches,2024,221,Both,Phenotypic data,"Decision Tree, Random Forest, Support Vector Machine","ADHD, Control",Accuracy 91%.
123,"Maniruzzaman, M., Hirooka, K., Tomioka, Y., Hasan, M., Seok Hwang, Y., Megumi, A., Yasumura, A., Shin, J.",Machine Learning-Based ADHD Detection From fNIRs Signal During Reverse Stroop Tasks,2024,243,Child,"fNIRs, Questionnaires","K Nearest, Logistic Regression, Neural Network, Random Forest, Support Vector Machine","ADHD, Control","Accuracy 91.67%, Sensitivity 95.92%, Specificity 82.61%, Precision 92.16%, F1-Score 94%, Cohen’s Kappa 80.38%, Geometric Mean 89.02%, AUC 95.5%"
124,"Abdullah, M., Negied, N.","Detection and Prediction of Future Mental Disorder From Social Media Data Using Machine Learning, Ensemble Learning, and Large Language Models",2024,2116104,Both,Textual data,"Ensemble, Logistic Regression, XGBoost","ADHD, Control",F1-Score 80%
125,"Alsharif, N., Al-Adhaileh, M.H., Al-Yaari, M.",Diagnosis of attention deficit hyperactivity disorder: A deep learning approach,2024,121,Child,EEG Signals,"Convolutional Neural Network,  GRU, Support Vector Machine, Transformer","ADHD, Control",Accuracy 95%
126,"Li, S., Nair, R., Mohsen Naqvi, S.M.",Acoustic and Text Features Analysis for Adult ADHD Screening: A Data-Driven Approach Utilizing DIVA Interview,2024,22,Adult,"Audio data, Video data, Questionnaires, Textual data",Support Vector Machine,"ADHD, Control","Accuracy 78.4%, Precision 72.2%, Recall 85.7%, F1-Score 78.2%"
127,"Yoo, J.H., Kang, C., Lim, J.S., Wang, B., Choi, C.-H., Hwang, H., Han, D.H., Kim, H., Cheon, H., Kim, J.-W.",Development of an innovative approach using portable eye tracking to assist ADHD screening: a machine learning study,2024,135,Child,Retinal data,Random Forest,"ADHD-I, ADHD-H ",Accuracy 76.3%
128,"Chugh, N., Aggarwal, S., Balyan, A.",The Hybrid Deep Learning Model for Identification of Attention-Deficit/Hyperactivity Disorder Using EEG,2024,130,Both,EEG Signals,"Convolutional Neural Network,  Ensemble, Long Short-Term Memory","ADHD, Control","Accuracy  98.86% on ADHD dataset, Accuracy 98.28% on FOCUS dataset"
129,"Ke, H., Chen, D., Yao, Q., Tang, Y., Wu, J., Monaghan, J., Sowman, P., McAlpine, D.",Deep Factor Learning for Accurate Brain Neuroimaging Data Analysis on Discrimination for Structural MRI and Functional MRI,2024,40,Both,"fMRI, sMRI","Convolutional Neural Network,  RNN","ADHD, Control","Accuracy 99.91%, Sensitivity 100%, Specificity 99.70%"
130,"Grazioli, S., Crippa, A., Rosi, E., Candelieri, A., Busti Ceccarelli, S.B., Maddalena, M., Manzoni, M., Mauri, V., Trabattoni, S., Molteni, M., Colombo, P., Nobile, M.",Exploring telediagnostic procedures in child neuropsychiatry: addressing ADHD diagnosis and autism symptoms through supervised machine learning,2024,342,Child,Questionaires,"Decision Tree, Random Forest, Support Vector Machine","ADHD, Control",Accuracy 74%
131,"Parlatini, V., Radua, J., Solanes Font, A., Wichers, R., Maltezos, S., Sanefuji, M., Dell'Acqua, F., Catani, M., Thiebaut de Schotten, M., Murphy, D.",Poor response to methylphenidate is associated with a smaller dorsal attentive network in adult Attention-Deficit/Hyperactivity Disorder (ADHD),2023,60,Adult,Clinical data,Lasso Regression,"ADHD-I, ADHD-H ",Adults with ADHD who respond poorly to methylphenidate treatment have a smaller left dorsal (SLF I)
132,"Ehrig, L., Wagner, A.-C., Wolter, H., Correll, C.U., Geisel, O., Konigorski, S.",FASDetect as a machine learning-based screening app for FASD in youth with ADHD,2023,445,Child,Clinical data,Random Forest,"ADHD-I, ADHD-C",AUC 92% 
133,"Haque, U.M., Kabir, E., Khanam, R.","Early detection of paediatric and adolescent obsessive–compulsive, separation anxiety and attention deficit hyperactivity disorder using machine learning algorithms",2023,1011,Child,Survey,"Convolutional Neural Network, Decision Tree, Random Forest","ADHD-I, ADHD-H, ADHD-C","Accuracy 91%, Precision 94%, Specificity 99%"
134,"Shoeibi, A., Ghassemi, N., Khodatars, M., Moridian, P., Khosravi, A., Zare, A., Górriz, J.M., Chale-Chale, A.H., Khadem, A., Acharya, U.",Automatic diagnosis of schizophrenia and attention deficit hyperactivity disorder in rs-fMRI modality using convolutional autoencoder model and interval type-2 fuzzy regression,2023,163,Adult,rs-fMRI,"Autoencoder, Bayesian, Convolutional Neural Network, Decision Tree,  K Nearest, Random Forest, Support Vector Machine","ADHD, Control",Accuracy 72.71%
135,"Casalino, G., Castellano, G., Consiglio, A., Nuzziello, N., Vessio, G.",MicroRNA expression classification for pediatric multiple sclerosis identification,2023,47,Child,miRNA,Neural Network,"ADHD, Control","Accuracy 79%, "
136,"Alkahtani, H., Aldhyani, T.H.H., Ahmed, Z.A.T., AlQarni, A.A.",Developing System-Based Artificial Intelligence Models for Detecting the Deficit Hyperactivity Disorder,2023,121,Child,EEG Signals,"Convolutional Neural Network,  Random Forest","ADHD, Control",Accuracy 97.75%
